Date,Sales
2013-04-08,2966.34771647913
2013-04-09,2923.5332933785185
2013-04-10,2917.912506839797
2013-04-11,2870.3679352138092
2013-04-12,2809.7299922504694
2013-04-13,2786.907655369724
2013-04-14,2763.044781403105
2013-04-15,2712.9780366611203
2013-04-16,2687.0033078963074
2013-04-17,2707.004830600931
2013-04-18,2693.5889104991684
2013-04-19,2675.093996424639
2013-04-20,2701.7339689136697
2013-04-21,2733.7721764845187
2013-04-22,2745.0017248811073
2013-04-23,2784.5382484923493
2013-04-24,2872.978658268165
2013-04-25,2929.5669297433965
2013-04-26,2981.2378170917245
2013-04-27,3076.7944576530153
2013-04-28,3175.1164937281865
2013-04-29,3248.6733315959063
2013-04-30,3345.3479253233954
2013-05-01,3484.623804015504
2013-05-02,3584.7757165098587
2013-05-03,3671.9341932991188
2013-05-04,3794.2795217023972
2013-05-05,3910.261421110716
2013-05-06,3992.118833729174
2013-05-07,4087.705152378524
2013-05-08,4216.671675690005
2013-05-09,4297.649869412824
2013-05-10,4357.303063066699
2013-05-11,4444.503520492648
2013-05-12,4518.531712169136
2013-05-13,4552.572827175356
2013-05-14,4595.516531229052
2013-05-15,4668.113487989951
2013-05-16,4690.129970039009
2013-05-17,4689.371935975509
2013-05-18,4715.835238081816
2013-05-19,4729.87947322083
2013-05-20,4705.701143930135
2013-05-21,4693.112668684516
2013-05-22,4713.681255267407
2013-05-23,4687.869290176101
2013-05-24,4644.047893020589
2013-05-25,4632.640440369796
2013-05-26,4614.293603011324
2013-05-27,4563.351481490523
2013-05-28,4529.639213655062
2013-05-29,4534.609753918861
2013-05-30,4498.495148759223
2013-05-31,4449.333504293903
2013-06-01,4437.127961842304
2013-06-02,4422.034693015137
2013-06-03,4377.854943499397
2013-06-04,4353.836937590025
2013-06-05,4370.840792543677
2013-06-06,4348.507243862114
2013-06-07,4314.300896109593
2013-06-08,4317.683889305468
2013-06-09,4318.316633104949
2013-06-10,4289.560353914015
2013-06-11,4280.287064485134
2013-06-12,4311.04998755964
2013-06-13,4301.255202884808
2013-06-14,4278.205284149794
2013-06-15,4291.270946970351
2013-06-16,4300.087563379206
2013-06-17,4278.051554282311
2013-06-18,4274.122587942016
2013-06-19,4308.9849745051
2013-06-20,4302.209411076843
2013-06-21,4281.286242031484
2013-06-22,4295.786653013518
2013-06-23,4305.549040061857
2013-06-24,4284.165907150366
2013-06-25,4280.777567131451
2013-06-26,4316.226277302049
2013-06-27,4310.212192632976
2013-06-28,4290.322450780926
2013-06-29,4306.189894242303
2013-06-30,4317.678688422799
2013-07-01,4298.372157950096
2013-07-02,4297.368979653171
2013-07-03,4335.441227703926
2013-07-04,4332.19542539232
2013-07-05,4315.107665776889
2013-07-06,4333.689021419776
2013-07-07,4347.678197593246
2013-07-08,4330.536439341924
2013-07-09,4331.250523125918
2013-07-10,4370.497036596729
2013-07-11,4367.8088356051185
2013-07-12,4350.6145116596335
2013-07-13,4368.406905723174
2013-07-14,4380.937489833216
2013-07-15,4361.711550228073
2013-07-16,4359.789984953374
2013-07-17,4395.950961277694
2013-07-18,4389.8524217447675
2013-07-19,4369.06642606594
2013-07-20,4383.241567324111
2013-07-21,4392.290527686007
2013-07-22,4369.877983187743
2013-07-23,4365.214968408529
2013-07-24,4399.213255119999
2013-07-25,4391.641041871926
2013-07-26,4370.151237614308
2013-07-27,4384.43885019639
2013-07-28,4394.424783578642
2013-07-29,4373.741446256203
2013-07-30,4371.5264284132145
2013-07-31,4408.577883560804
2013-08-01,4404.512936420706
2013-08-02,4386.800358388301
2013-08-03,4404.923915646625
2013-08-04,4418.57352558389
2013-08-05,4401.139400479823
2013-08-06,4401.515156223517
2013-08-07,4440.263206906371
2013-08-08,4436.78341466396
2013-08-09,4418.355865282867
2013-08-10,4434.313795348614
2013-08-11,4444.243432237684
2013-08-12,4421.485569657639
2013-08-13,4414.94453119452
2013-08-14,4445.257560464285
2013-08-15,4431.965379009514
2013-08-16,4402.554617628217
2013-08-17,4406.6280530076865
2013-08-18,4404.099393325671
2013-08-19,4368.687497088039
2013-08-20,4349.715818856025
2013-08-21,4368.270339080027
2013-08-22,4344.357010457911
2013-08-23,4305.9297831696895
2013-08-24,4303.045553355061
2013-08-25,4296.043235189138
2013-08-26,4259.02232840334
2013-08-27,4241.627278683623
2013-08-28,4265.191392598196
2013-08-29,4249.881828575388
2013-08-30,4223.717184152737
2013-08-31,4236.71510398308
2013-09-01,4249.064115334981
2013-09-02,4234.602028033664
2013-09-03,4242.600700686818
2013-09-04,4293.914378802587
2013-09-05,4308.1324588458865
2013-09-06,4312.6080984130895
2013-09-07,4356.619226894418
2013-09-08,4399.559208160821
2013-09-09,4414.432413029955
2013-09-10,4449.660718067614
2013-09-11,4525.254248213703
2013-09-12,4559.98728589696
2013-09-13,4580.450126758376
2013-09-14,4635.232774396709
2013-09-15,4683.137060772667
2013-09-16,4696.691801699681
2013-09-17,4723.976391625862
2013-09-18,4784.805597633513
2013-09-19,4797.915990088611
2013-09-20,4790.024392996336
2013-09-21,4810.013951116569
2013-09-22,4817.144217677751
2013-09-23,4784.559809663267
2013-09-24,4761.103097194087
2013-09-25,4767.483874914778
2013-09-26,4723.446763714695
2013-09-27,4656.807153311489
2013-09-28,4617.611816951675
2013-09-29,4566.321229912407
2013-09-30,4477.288844239567
2013-10-01,4400.543550803937
2013-10-02,4357.929079678623
2013-10-03,4270.2419068332365
2013-10-04,4166.239291063829
2013-10-05,4096.7743560305835
2013-10-06,4022.9559838324903
2013-10-07,3919.6094267017393
2013-10-08,3837.0444389653167
2013-10-09,3797.1851337934045
2013-10-10,3720.7034645576446
2013-10-11,3636.028150322694
2013-10-12,3593.4860133010543
2013-10-13,3553.4733980913597
2013-10-14,3489.933344059525
2013-10-15,3452.144926748216
2013-10-16,3460.87846151073
2013-10-17,3435.557835144893
2013-10-18,3403.301047881849
2013-10-19,3413.095112045025
2013-10-20,3424.002093210696
2013-10-21,3408.671042614358
2013-10-22,3415.161300664827
2013-10-23,3463.129941164431
2013-10-24,3471.0237366065294
2013-10-25,3465.1459046418877
2013-10-26,3493.8530463206876
2013-10-27,3515.7784340030803
2013-10-28,3503.3558958996073
2013-10-29,3504.6494164904675
2013-10-30,3539.5410141673588
2013-10-31,3526.917227587337
2013-11-01,3493.724583930214
2013-11-02,3489.149732837925
2013-11-03,3472.8208307654468
2013-11-04,3418.304992444369
2013-11-05,3374.907626512798
2013-11-06,3363.827023986306
2013-11-07,3305.305426194988
2013-11-08,3227.647904227323
2013-11-09,3181.3657281692986
2013-11-10,3127.3418189301938
2013-11-11,3040.2940840895326
2013-11-12,2970.5433976107615
2013-11-13,2940.140461113934
2013-11-14,2869.9935457977435
2013-11-15,2788.8691004544694
2013-11-16,2747.5224212244793
2013-11-17,2706.8563368054083
2013-11-18,2641.383913189926
2013-11-19,2601.001966905361
2013-11-20,2607.129483908304
2013-11-21,2579.852634473256
2013-11-22,2546.947900838273
2013-11-23,2558.0398971447366
2013-11-24,2572.791088591059
2013-11-25,2564.3985568552293
2013-11-26,2581.4036571655624
2013-11-27,2643.867660181755
2013-11-28,2670.554032622307
2013-11-29,2687.9878335598823
2013-11-30,2744.6477918536402
2013-12-01,2799.187311896152
2013-12-02,2823.958676457025
2013-12-03,2866.845520122393
2013-12-04,2947.456023011736
2013-12-05,2984.3169820868998
2013-12-06,3003.938901578578
2013-12-07,3055.007503694871
2013-12-08,3096.5979186300183
2013-12-09,3101.6860107511475
2013-12-10,3118.962273928096
2013-12-11,3169.001266789848
2013-12-12,3171.427413633441
2013-12-13,3153.9481097443104
2013-12-14,3166.510435742196
2013-12-15,3169.4787254782696
2013-12-16,3137.108482354465
2013-12-17,3119.323140151606
2013-12-18,3137.8476962466034
2013-12-19,3113.341064442653
2013-12-20,3074.399042973667
2013-12-21,3071.6850675132487
2013-12-22,3066.086741501036
2013-12-23,3032.174249425083
2013-12-24,3019.9676033754654
2013-12-25,3051.0670363197432
2013-12-26,3045.7884973433734
2013-12-27,3032.1760714420147
2013-12-28,3060.14824133376
2013-12-29,3089.6755585475917
2013-12-30,3094.265243274145
2013-12-31,3122.758932229049
2014-01-01,3195.4970323271687
2014-01-02,3231.490679068128
2014-01-03,3257.472091984162
2014-01-04,3322.079169458
2014-01-05,3384.0708003593895
2014-01-06,3415.8473383209393
2014-01-07,3465.281430769317
2014-01-08,3551.911709051436
2014-01-09,3594.13948985399
2014-01-10,3618.29855854688
2014-01-11,3672.853302732022
2014-01-12,3716.6212636848004
2014-01-13,3722.294318000418
2014-01-14,3738.263631337676
2014-01-15,3784.8010255468953
2014-01-16,3781.2372264968653
2014-01-17,3755.007551793101
2014-01-18,3755.820960104696
2014-01-19,3743.8493189211317
2014-01-20,3693.212017261306
2014-01-21,3653.7620724090443
2014-01-22,3647.2274463307867
2014-01-23,3594.349150037635
2014-01-24,3523.88781382675
2014-01-25,3486.755733614986
2014-01-26,3444.1722891500526
2014-01-27,3371.1188096989895
2014-01-28,3318.099875545723
2014-01-29,3307.265474521434
2014-01-30,3259.536140191954
2014-01-31,3203.603127267352
2014-02-01,3190.0608305943797
2014-02-02,3179.5693524927856
2014-02-03,3146.323115371474
2014-02-04,3139.8321464434416
2014-02-05,3181.0699192884595
2014-02-06,3189.6291861672935
2014-02-07,3192.7570248421475
2014-02-08,3239.525358376395
2014-02-09,3289.033814979316
2014-02-10,3313.919726090612
2014-02-11,3362.1807601944574
2014-02-12,3453.362948496286
2014-02-13,3505.754439725173
2014-02-14,3545.4551735177497
2014-02-15,3620.577787488388
2014-02-16,3689.4757986699838
2014-02-17,3724.2731708958536
2014-02-18,3772.7002375897614
2014-02-19,3854.2883811203787
2014-02-20,3887.5676486462125
2014-02-21,3899.1174336315776
2014-02-22,3937.7658895134714
2014-02-23,3962.794347870007
2014-02-24,3947.4414792217744
2014-02-25,3940.708856541588
2014-02-26,3963.5211625483475
2014-02-27,3935.882156446627
2014-02-28,3885.897639396718
2014-03-01,3863.922025617362
2014-03-02,3830.726057433814
2014-03-03,3760.961437558125
2014-03-04,3704.9291276967347
2014-03-05,3684.705562834357
2014-03-06,3621.2688117769476
2014-03-07,3543.496719902224
2014-03-08,3502.294297854739
2014-03-09,3458.748393900517
2014-03-10,3387.58575202429
2014-03-11,3338.941354652629
2014-03-12,3334.4912667308877
2014-03-13,3294.591798364021
2014-03-14,3247.2966345175773
2014-03-15,3242.508645431928
2014-03-16,3240.16371866106
2014-03-17,3213.721891195356
2014-03-18,3211.971753418593
2014-03-19,3255.2013370420336
2014-03-20,3262.376250279757
2014-03-21,3260.195634728256
2014-03-22,3297.2815931892555
2014-03-23,3332.3984038083972
2014-03-24,3337.9758403425826
2014-03-25,3361.9417045621162
2014-03-26,3423.917965238594
2014-03-27,3442.4109941413385
2014-03-28,3443.8853309346378
2014-03-29,3476.957009987956
2014-03-30,3500.6122973579813
2014-03-31,3487.7242727055345
2014-04-01,3486.872579826832
2014-04-02,3518.519189740461
2014-04-03,3502.1808595381767
2014-04-04,3465.469069844971
2014-04-05,3458.2535792720128
2014-04-06,3440.8466657986964
2014-04-07,3387.483372326194
2014-04-08,3348.1040736323207
2014-04-09,3344.493217602712
2014-04-10,3297.41592051891
2014-04-11,3235.6241563096387
2014-04-12,3209.989569883628
2014-04-13,3181.6607871254864
2014-04-14,3125.5212312726358
2014-04-15,3091.9543273936306
2014-04-16,3102.970370219817
2014-04-17,3079.3370053493345
2014-04-18,3049.5851760736623
2014-04-19,3064.1475190953042
2014-04-20,3083.526878749328
2014-04-21,3081.7705977420437
2014-04-22,3108.2569770476766
2014-04-23,3183.8475688208864
2014-04-24,3228.0465368483383
2014-04-25,3268.0381380642775
2014-04-26,3352.858449348316
2014-04-27,3441.5981140869735
2014-04-28,3506.910860223138
2014-04-29,3596.8332898674576
2014-04-30,3730.9687496709435
2014-05-01,3827.675722012645
2014-05-02,3913.1310783063864
2014-05-03,4035.523704528131
2014-05-04,4153.274774767083
2014-05-05,4238.559051571219
2014-05-06,4339.1324743312
2014-05-07,4474.518744119699
2014-05-08,4563.195382920159
2014-05-09,4631.6497799978115
2014-05-10,4728.561035393044
2014-05-11,4813.004291540954
2014-05-12,4857.952449777473
2014-05-13,4912.0811367984315
2014-05-14,4995.930300621411
2014-05-15,5029.063632305364
2014-05-16,5039.097070673085
2014-05-17,5075.852949322021
2014-05-18,5099.5372100597215
2014-05-19,5084.215276374005
2014-05-20,5079.593093954122
2014-05-21,5107.1572882465625
2014-05-22,5087.316120011197
2014-05-23,5048.412883708721
2014-05-24,5040.868590133068
2014-05-25,5025.351529004641
2014-05-26,4976.2493644020715
2014-05-27,4943.450218555205
2014-05-28,4948.4865364661955
2014-05-29,4911.683156507366
2014-05-30,4861.180888120052
2014-05-31,4847.09201915753
2014-06-01,4829.684869187641
2014-06-02,4782.872517707347
2014-06-03,4756.011614652488
2014-06-04,4770.064487092622
2014-06-05,4744.765445858882
2014-06-06,4707.662028002537
2014-06-07,4708.287121311463
2014-06-08,4706.358643000871
2014-06-09,4675.281524650496
2014-06-10,4663.957603877405
2014-06-11,4692.956430098941
2014-06-12,4681.687715641258
2014-06-13,4657.446148517021
2014-06-14,4669.584527665574
2014-06-15,4677.712007990951
2014-06-16,4655.192393252787
2014-06-17,4650.948328800871
2014-06-18,4685.624708073528
2014-06-19,4678.752373794062
2014-06-20,4657.783209956352
2014-06-21,4672.252981594592
2014-06-22,4681.969108484066
2014-06-23,4660.498698694212
2014-06-24,4656.9630580757475
2014-06-25,4692.192318201648
2014-06-26,4685.881546582272
2014-06-27,4665.619663974917
2014-06-28,4681.047693977554
2014-06-29,4692.043634517679
2014-06-30,4672.209314049955
2014-07-01,4670.665419326707
2014-07-02,4708.208244706982
2014-07-03,4704.469375844132
2014-07-04,4686.949430040213
2014-07-05,4705.182132935574
2014-07-06,4718.925742574653
2014-07-07,4701.656883004709
2014-07-08,4702.372664534723
2014-07-09,4741.754323615828
2014-07-10,4739.333312553773
2014-07-11,4722.530674063063
2014-07-12,4740.825748523967
2014-07-13,4753.951027363536
2014-07-14,4735.388068426777
2014-07-15,4734.170257952179
2014-07-16,4771.04562662969
2014-07-17,4765.640662609324
2014-07-18,4745.496056279926
2014-07-19,4760.230558404902
2014-07-20,4769.729957532491
2014-07-21,4747.636326765114
2014-07-22,4743.143593253419
2014-07-23,4777.152931255076
2014-07-24,4769.429228724999
2014-07-25,4747.629871636552
2014-07-26,4761.462327657177
2014-07-27,4770.867814370236
2014-07-28,4749.506449869443
2014-07-29,4746.550145514159
2014-07-30,4782.836898381093
2014-07-31,4778.027833572083
2014-08-01,4759.638279444853
2014-08-02,4777.199332167858
2014-08-03,4790.447104983894
2014-08-04,4772.814907356527
2014-08-05,4773.23440229694
2014-08-06,4812.299135207555
2014-08-07,4809.431475599373
2014-08-08,4791.923911142652
2014-08-09,4809.110783280207
2014-08-10,4820.567281317044
2014-08-11,4799.610565585246
2014-08-12,4795.108694725583
2014-08-13,4827.650438706599
2014-08-14,4816.716702349885
2014-08-15,4789.724267383238
2014-08-16,4796.1977585433
2014-08-17,4795.966538411838
2014-08-18,4762.661362258044
2014-08-19,4745.516520802052
2014-08-20,4765.530651410414
2014-08-21,4742.627164602744
2014-08-22,4704.685256342616
2014-08-23,4701.697755010458
2014-08-24,4693.95290729495
2014-08-25,4655.515381105543
2014-08-26,4636.0126946114615
2014-08-27,4656.780753073105
2014-08-28,4638.0099461110285
2014-08-29,4607.763270321337
2014-08-30,4616.1231932819865
2014-08-31,4623.364787516734
2014-09-01,4603.43077946111
2014-09-02,4605.715018929901
2014-09-03,4651.208265322863
2014-09-04,4659.647866899122
2014-09-05,4658.54282439737
2014-09-06,4697.3308804536555
2014-09-07,4735.564987217563
2014-09-08,4746.404521945972
2014-09-09,4778.4173872396705
2014-09-10,4851.746438285054
2014-09-11,4885.281285790156
2014-09-12,4905.706378270193
2014-09-13,4961.681373411958
2014-09-14,5012.050492689849
2014-09-15,5029.355564943779
2014-09-16,5061.6582317194625
2014-09-17,5128.724152710428
2014-09-18,5149.209667908069
2014-09-19,5149.721324801646
2014-09-20,5179.003857971072
2014-09-21,5196.152993331213
2014-09-22,5174.127569029545
2014-09-23,5161.566362271113
2014-09-24,5178.962472190662
2014-09-25,5145.835891179252
2014-09-26,5089.774944070622
2014-09-27,5060.602583559756
2014-09-28,5018.564422739387
2014-09-29,4937.813602579963
2014-09-30,4868.198571334363
2014-10-01,4831.407377625903
2014-10-02,4748.109905105296
2014-10-03,4646.9695457201215
2014-10-04,4578.781117090418
2014-10-05,4504.632698449562
2014-10-06,4399.367230283981
